id,cons_last_month,date_activ,date_end,has_gas,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,churn
24011ae4ebbe3035111d65fa7c15bc57,0,2013-06-15,2016-06-15,t,25.44,25.44,2,678.99,3,43.648,1
d29c2c54acc38ff3c0614d0a653813dd,0,2009-08-21,2016-08-30,f,16.38,16.38,1,18.89,6,13.8,0
764c75f661154dac3a6c254cd082ea7d,0,2010-04-16,2016-04-16,f,28.6,28.6,1,6.6,6,13.856,0
bba03439a292a1e166f80264c16191cb,0,2010-03-30,2016-03-30,f,30.22,30.22,1,25.46,6,13.2,0
149d57cf92fc41cf94415803a877cb4b,526,2010-01-13,2016-03-07,f,44.91,44.91,1,47.98,6,19.8,0
1aa498825382410b098937d65c4ec26d,1998,2011-12-09,2016-12-09,f,33.12,33.12,1,118.89,4,13.2,1
7ab4bf4878d8f7661dfc20e9b8e18011,0,2011-12-02,2016-12-02,f,4.04,4.04,1,346.63,4,15.0,1
01495c955be7ec5e7f3203406785aae0,1260,2010-04-21,2016-04-21,f,53.92,53.92,1,100.09,6,26.4,0
f53a254b1115634330c12c7fdbf7958a,0,2011-09-23,2016-09-23,f,12.82,12.82,1,42.59,4,13.2,0
10c1b2f97a2d2a6f10299dc213d1a370,2188,2010-05-04,2016-05-04,f,33.42,33.42,1,329.6,6,31.5,0
d5e512dbc8118a830a7b8c7f61d89992,3112,2011-07-11,2016-07-11,f,14.52,14.52,1,108.5,5,11.5,0
6ee77a019251bcc304c88167e0dfcb4c,2489,2009-11-26,2016-11-26,f,21.09,21.09,1,18.41,6,10.392,0
2c05848e1a577dd041ea6804bbf5bbf5,5280,2011-09-01,2016-10-30,t,5.52,5.52,2,533.46,4,16.5,0
21860c2ff2d5df75503b230ce629c253,0,2013-01-22,2017-01-22,f,33.12,33.12,1,89.02,3,13.2,0
c5037389dd8be351d3c40f2973da2391,0,2010-12-01,2016-12-01,f,15.78,15.78,1,111.59,5,13.856,0
e4773b60d2e68aac94795782abfc006b,3161,2012-04-20,2016-04-20,f,19.28,19.28,1,130.14,4,10.392,0
bd14bbac3aca710ee5288fcd8511d4bb,85883,2010-02-15,2016-02-15,t,25.68,25.68,2,1087.76,6,11.4,0
4e4a34a6d91ff25d0fdf68733907ad44,0,2011-08-01,2016-07-25,f,19.29,19.29,1,335.78,5,25.0,0
f2b93783adecf0d0d8d60ab547bda3de,2877,2011-05-27,2016-05-27,f,21.57,21.57,1,117.44,5,15.001,0
47e976c5d7f1ee1fee6d60ca39fd0218,0,2012-05-28,2016-05-28,f,23.97,23.97,1,19.07,4,13.0,0
db6ac41fb6972374f28bc6f8e43b9764,1908,2009-10-01,2016-10-01,t,6.6,6.6,2,203.35,6,19.8,0
bee0c7e972180fbee50c2ea15b12965c,4099,2011-03-04,2016-03-04,f,47.35,47.35,1,316.53,5,35.0,0
78014630fbac3e6aa980361d25cea748,3804,2012-12-31,2016-12-31,f,4.14,4.14,1,255.96,3,11.0,0
5789c446141a44a9b405db35682f6eb5,0,2013-02-27,2016-02-27,f,23.4,23.4,2,123.87,3,10.392,0
ed5bc499fecb8eee257857fd286ebd65,0,2009-12-07,2016-12-07,f,3.56,3.56,1,150.7,6,13.2,0
389bbbe70248fbeecdf9bb1bd0d1da04,322,2010-11-17,2016-11-17,f,57.72,57.72,1,38.76,5,23.1,1
31615bef53242dfedeaf275214044ca1,0,2010-07-12,2016-07-12,f,14.64,14.64,1,38.62,6,10.392,0
74ff037708f036de5745ce34d8d9d4df,0,2011-12-12,2016-12-12,f,19.42,19.42,1,60.0,4,12.5,0
