cons_last_month,has_gas,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,churn,duration
0,1,25.44,25.44,2,678.99,3,43.648,1,1096
0,0,16.38,16.38,1,18.89,6,13.8,0,2566
0,0,28.6,28.6,1,6.6,6,13.856,0,2192
0,0,30.22,30.22,1,25.46,6,13.2,0,2192
526,0,44.91,44.91,1,47.98,6,19.8,0,2245
1998,0,33.12,33.12,1,118.89,4,13.2,1,1827
0,0,4.04,4.04,1,346.63,4,15.0,1,1827
1260,0,53.92,53.92,1,100.09,6,26.4,0,2192
0,0,12.82,12.82,1,42.59,4,13.2,0,1827
2188,0,33.42,33.42,1,329.6,6,31.5,0,2192
3112,0,14.52,14.52,1,108.5,5,11.5,0,1827
2489,0,21.09,21.09,1,18.41,6,10.392,0,2557
5280,1,5.52,5.52,2,533.46,4,16.5,0,1886
0,0,33.12,33.12,1,89.02,3,13.2,0,1461
0,0,15.78,15.78,1,111.59,5,13.856,0,2192
3161,0,19.28,19.28,1,130.14,4,10.392,0,1461
85883,1,25.68,25.68,2,1087.76,6,11.4,0,2191
0,0,19.29,19.29,1,335.78,5,25.0,0,1820
2877,0,21.57,21.57,1,117.44,5,15.001,0,1827
0,0,23.97,23.97,1,19.07,4,13.0,0,1461
1908,1,6.6,6.6,2,203.35,6,19.8,0,2557
4099,0,47.35,47.35,1,316.53,5,35.0,0,1827
3804,0,4.14,4.14,1,255.96,3,11.0,0,1461
0,0,23.4,23.4,2,123.87,3,10.392,0,1095
0,0,3.56,3.56,1,150.7,6,13.2,0,2557
322,0,57.72,57.72,1,38.76,5,23.1,1,2192
0,0,14.64,14.64,1,38.62,6,10.392,0,2192
0,0,19.42,19.42,1,60.0,4,12.5,0,1827
1100,0,20.0,20.0,1,94.01,6,15.01,0,2557
164355,1,43.44,43.44,2,487.42,5,29.0,0,2192
0,0,18.62,18.62,2,1.27,7,13.2,1,2557
0,0,27.96,27.96,2,19.0,4,10.392,0,1697
0,0,17.45,17.45,1,243.99,4,13.856,0,1461
4159,0,10.16,10.16,1,477.42,3,30.45,0,1461
3407,0,44.64,44.64,1,407.98,11,33.0,0,4018
3538,0,3.72,3.72,1,505.47,4,19.8,0,1827
218619,0,21.52,21.52,1,50.38,5,13.2,0,1827
0,0,60.39,60.39,1,111.64,6,26.6,0,2192
794,0,24.4,24.4,1,50.71,6,15.0,0,2192
0,0,17.13,17.13,1,86.43,4,10.392,0,1827
312684,0,11.95,11.95,1,279.26,3,13.85,0,1461
1592,0,29.5,29.5,1,30.9,4,13.856,0,1664
0,0,14.64,14.64,1,64.34,4,10.392,0,1475
0,0,23.4,23.4,1,156.21,5,10.392,0,1876
0,0,30.22,30.22,1,0.88,5,13.2,0,1827
7546,0,32.1,32.1,1,416.74,4,26.61,0,1461
3319,0,12.36,12.36,1,311.76,6,19.8,0,2557
0,0,24.33,24.33,1,80.3,5,13.86,0,2192
6094,0,32.88,32.88,1,719.37,6,33.0,1,2221
2237,0,9.93,9.93,1,234.39,5,52.5,0,2192
124,0,108.9,108.9,1,10.32,5,48.0,0,1827
40551,0,11.04,11.04,1,372.55,3,33.0,0,1205
951,0,36.22,36.22,1,137.56,4,20.0,0,1461
0,0,19.28,19.28,1,301.91,3,10.392,1,1096
53135,0,4.46,4.46,1,364.43,5,100.0,0,2192
1542,0,27.69,27.69,1,111.5,4,15.0,0,1461
79977,0,2.46,2.46,1,172.91,4,19.72,1,1827
1105,0,37.56,37.56,1,864.94,5,12.5,0,1772
18860,0,16.32,16.32,1,677.58,5,16.4,0,2192
17754,1,35.81,35.81,3,580.06,6,40.0,0,2192
7891,1,0.7999999999999989,0.7999999999999989,4,396.63,4,17.25,0,1827
0,0,34.68,34.68,1,49.0,3,13.856,0,1461
829,0,51.96,51.96,1,45.47,6,20.785,0,2191
0,0,21.52,21.52,1,0.16,5,13.2,0,1827
0,0,23.76,23.76,1,82.52,5,10.392,0,1827
120936,1,47.0,47.0,2,14.59,5,29.7,0,1827
2000,1,24.72,24.72,2,183.25,6,16.5,0,2219
0,0,22.52,22.52,1,35.96,4,13.856,0,1461
7895,1,14.94,14.94,2,848.79,6,55.0,0,2557
0,0,20.54,20.54,1,20.73,6,10.392,0,2557
3764,1,22.44,22.44,2,530.16,3,15.001,1,1096
4898,1,19.92,19.92,2,571.66,3,20.0,0,1238
1116,0,34.68,34.68,1,101.81,6,13.856,0,2557
0,0,22.89,22.89,1,102.08,4,13.856,0,1827
1466,1,60.84,60.84,3,66.87,5,25.0,0,2192
0,0,37.56,37.56,1,45.07,6,15.0,0,2557
3227,0,14.57,14.57,1,59.82,7,10.35,0,2557
4700,0,29.76,29.76,1,134.5,3,14.49,0,1096
0,0,10.08,10.08,1,47.33,5,10.392,0,2192
668,0,15.5,15.5,1,59.37,6,11.0,0,2192
1474,0,12.9,12.9,1,181.75,6,20.7,0,2557
0,0,4.83,4.83,2,122.17,3,10.35,1,1486
64,0,37.39,37.39,1,21.87,4,16.5,0,1461
4095,0,23.66,23.66,1,544.49,4,26.4,0,1461
3598,0,23.99,23.99,1,295.02,5,50.0,0,2192
5925,0,25.44,25.44,1,428.99,4,21.04,1,1461
0,0,27.52,27.52,1,112.04,6,13.3,0,2172
21,1,42.48,42.48,2,2.43,6,17.0,1,2192
0,0,48.6,48.6,1,27.83,4,13.856,0,1485
0,0,21.48,21.48,1,63.75,4,10.392,0,1461
0,0,17.62,17.62,1,53.89,6,12.5,0,2192
911,0,37.39,37.39,1,87.02,6,16.5,0,2249
1114,0,26.04,26.04,1,94.42,4,10.392,0,1827
177,0,26.04,26.04,1,16.97,6,10.392,0,2191
936,0,34.68,34.68,1,121.33,5,13.84,0,2192
1807,0,31.32,31.32,1,156.02,4,17.320999999999998,0,1461
1513,0,32.48,32.48,1,159.02,4,20.0,0,1461
2037,0,18.62,18.62,1,108.67,7,13.2,0,2557
9573,1,10.84,10.84,2,362.56,4,12.5,0,1827
0,0,10.03,10.03,1,21.2,6,10.35,0,2557
66423,0,19.2,19.2,1,107.14,6,10.392,0,2192
391,0,30.98,30.98,1,35.18,3,15.0,0,1096
365,0,18.99,18.99,1,70.63,6,11.504,0,2557
4168,0,18.96,18.96,1,447.52,6,19.0,0,2190
0,0,18.12,18.12,1,52.79,4,10.4,0,1583
0,0,28.02,28.02,1,26.77,6,13.856,0,2557
341,0,46.32,46.32,1,17.49,4,13.2,0,1479
